birth_type,total_births,valid_preterm_records,preterm_births,preterm_birth_rate,valid_birth_weight_records,low_birth_weight_births,low_birth_weight_rate
Multiple birth,112066,111979,69752,62.29,111800,63153,56.49
Singleton,3526370,3521848,308196,8.75,3523530,246464,6.99
